"id","file","taxon","input_data","modelling_method","output_type","future_projections","uncertainty_type","model_performance","model_performance_measure","xmin","xmax","ymin","ymax","x_resolution","y_resolution","spatial_units","crs","repo","data_usage_notes","licence","reference","citation"
"Ch2012-relative_risk","Ch2012-relative_risk_cog.tif","alien vascular plants","propagule pressure and origins","numerical model","relative risk",FALSE,,,,-2869642,3210108,-2869642,2918280,48638,48638,"m","EPSG:3031",,,"CC-BY 4.0","Chown SL, Huiskes AHL, Gremmen NJM, Lee JE, Terauds A, Crosbie K, Frenot Y, Hughes KA, Imura S, Kiefer K, Lebouvier M, Raymond B, Tsujimoto M, Ware C, Van de Vijver B, Bergstrom DM (2012) Continent-wide risk assessment for the establishment of nonindigenous species in Antarctica. Proceedings of the National Academy of Sciences. 10.1073/pnas.1119787109","See reference"
"CR2014-Euphausia_crystallorophias","CR2014-Euphausia_crystallorophias_cog.tif","Euphausia crystallorophias","net trawls","boosted regression tree","probability of presence",FALSE,"CV",0.84,"AUC",-180.5,180.5,-77.75,-39.75,1,0.5,"degrees","EPSG:4326",,,"CC-BY 4.0","Cuzin-Roudy J, Irisson J-O, Penot F, Kawaguchi S, Vallet C (2014) Southern Ocean Euphausiids. In: de Broyer C, et al. (eds) The Biogeographic Atlas of the Southern Ocean. Scientific Committee on Antarctic Research, Cambridge UK, pp. 309-320","See reference"
"CR2014-Euphausia_superba","CR2014-Euphausia_superba_cog.tif","Euphausia superba","net trawls","boosted regression tree","probability of presence",FALSE,"CV",0.94,"AUC",-180.5,180.5,-77.75,-32.75,1,0.5,"degrees","EPSG:4326",,,"CC-BY 4.0","Cuzin-Roudy J, Irisson J-O, Penot F, Kawaguchi S, Vallet C (2014) Southern Ocean Euphausiids. In: de Broyer C, et al. (eds) The Biogeographic Atlas of the Southern Ocean. Scientific Committee on Antarctic Research, Cambridge UK, pp. 309-320","See reference"
"CR2014-Thysanoessa_macrura","CR2014-Thysanoessa_macrura_cog.tif","Thysanoessa macrura","net trawls","boosted regression tree","probability of presence",FALSE,"CV",0.84,"AUC",-180.5,180.5,-77.75,-33.75,1,0.5,"degrees","EPSG:4326",,,"CC-BY 4.0","Cuzin-Roudy J, Irisson J-O, Penot F, Kawaguchi S, Vallet C (2014) Southern Ocean Euphausiids. In: de Broyer C, et al. (eds) The Biogeographic Atlas of the Southern Ocean. Scientific Committee on Antarctic Research, Cambridge UK, pp. 309-320","See reference"
"CR2014-Euphausia_vallentini","CR2014-Euphausia_vallentini_cog.tif","Euphausia vallentini","net trawls","boosted regression tree","probability of presence",FALSE,"CV",0.87,"AUC",-180.5,180.5,-77.75,-40.25,1,0.5,"degrees","EPSG:4326",,,"CC-BY 4.0","Cuzin-Roudy J, Irisson J-O, Penot F, Kawaguchi S, Vallet C (2014) Southern Ocean Euphausiids. In: de Broyer C, et al. (eds) The Biogeographic Atlas of the Southern Ocean. Scientific Committee on Antarctic Research, Cambridge UK, pp. 309-320","See reference"
"El2021-Balaenoptera_physalus_01","El2021-Balaenoptera_physalus_01_cog.tif","Balaenoptera physalus","visual sightings","Maxent","habitat suitability",FALSE,"SD",0.83,"AUC",-3277659.35003177,4412340.64996823,-3295318.76038965,4504681.23961035,10000,10000,"m","+proj=laea +lat_0=-90 +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",,"January mean and SD habitat suitability. The original data archive on PANGAEA provides additional summaries (min, median, max, etc) as well as daily, weekly, and monthly predictions for 2002-2019","CC-BY 4.0","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2021) Dynamic species distribution models in the marine realm: predicting year-round habitat suitability of baleen whales in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2021.802276","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2022) Year-round habitat suitability of fin/blue/humpback/minke whales in the Southern Ocean.
PANGAEA. 10.1594/PANGAEA.946773, 10.1594/PANGAEA.946772, 10.1594/PANGAEA.946769, 10.1594/PANGAEA.946774"
"El2021-Balaenoptera_physalus_02","El2021-Balaenoptera_physalus_02_cog.tif","Balaenoptera physalus","visual sightings","Maxent","habitat suitability",FALSE,"SD",0.83,"AUC",-3277659.35003177,4412340.64996823,-3295318.76038965,4504681.23961035,10000,10000,"m","+proj=laea +lat_0=-90 +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",,"February mean and SD habitat suitability. The original data archive on PANGAEA provides additional summaries (min, median, max, etc) as well as daily, weekly, and monthly predictions for 2002-2019","CC-BY 4.0","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2021) Dynamic species distribution models in the marine realm: predicting year-round habitat suitability of baleen whales in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2021.802276","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2022) Year-round habitat suitability of fin/blue/humpback/minke whales in the Southern Ocean.
PANGAEA. 10.1594/PANGAEA.946773, 10.1594/PANGAEA.946772, 10.1594/PANGAEA.946769, 10.1594/PANGAEA.946774"
"El2021-Balaenoptera_physalus_03","El2021-Balaenoptera_physalus_03_cog.tif","Balaenoptera physalus","visual sightings","Maxent","habitat suitability",FALSE,"SD",0.83,"AUC",-3277659.35003177,4412340.64996823,-3295318.76038965,4504681.23961035,10000,10000,"m","+proj=laea +lat_0=-90 +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",,"March mean and SD habitat suitability. The original data archive on PANGAEA provides additional summaries (min, median, max, etc) as well as daily, weekly, and monthly predictions for 2002-2019","CC-BY 4.0","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2021) Dynamic species distribution models in the marine realm: predicting year-round habitat suitability of baleen whales in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2021.802276","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2022) Year-round habitat suitability of fin/blue/humpback/minke whales in the Southern Ocean.
PANGAEA. 10.1594/PANGAEA.946773, 10.1594/PANGAEA.946772, 10.1594/PANGAEA.946769, 10.1594/PANGAEA.946774"
"El2021-Balaenoptera_physalus_04","El2021-Balaenoptera_physalus_04_cog.tif","Balaenoptera physalus","visual sightings","Maxent","habitat suitability",FALSE,"SD",0.83,"AUC",-3277659.35003177,4412340.64996823,-3295318.76038965,4504681.23961035,10000,10000,"m","+proj=laea +lat_0=-90 +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",,"April mean and SD habitat suitability. The original data archive on PANGAEA provides additional summaries (min, median, max, etc) as well as daily, weekly, and monthly predictions for 2002-2019","CC-BY 4.0","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2021) Dynamic species distribution models in the marine realm: predicting year-round habitat suitability of baleen whales in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2021.802276","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2022) Year-round habitat suitability of fin/blue/humpback/minke whales in the Southern Ocean.
PANGAEA. 10.1594/PANGAEA.946773, 10.1594/PANGAEA.946772, 10.1594/PANGAEA.946769, 10.1594/PANGAEA.946774"
"El2021-Balaenoptera_physalus_05","El2021-Balaenoptera_physalus_05_cog.tif","Balaenoptera physalus","visual sightings","Maxent","habitat suitability",FALSE,"SD",0.83,"AUC",-3277659.35003177,4412340.64996823,-3295318.76038965,4504681.23961035,10000,10000,"m","+proj=laea +lat_0=-90 +lon_0=0 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs",,"May mean and SD habitat suitability. The original data archive on PANGAEA provides additional summaries (min, median, max, etc) as well as daily, weekly, and monthly predictions for 2002-2019","CC-BY 4.0","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2021) Dynamic species distribution models in the marine realm: predicting year-round habitat suitability of baleen whales in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2021.802276","El-Gabbas A, Van Opzeeland I, Burkhardt E, Boebel O (2022) Year-round habitat suitability of fin/blue/humpback/minke whales in the Southern Ocean.
PANGAEA. 10.1594/PANGAEA.946773, 10.1594/PANGAEA.946772, 10.1594/PANGAEA.946769, 10.1594/PANGAEA.946774"
